id_estado,ano_populacao,ano_pib,populacao,pib_mil_reais,pib_per_capita
11,2024,2023,1746227,76456179.0,43783.64267646761
12,2024,2023,880631,26291321.0,29855.093677147408
13,2024,2023,4281209,161794976.0,37791.88916028159
14,2024,2023,716793,25124805.0,35051.688562806834
15,2024,2023,8664306,254546511.0,29378.753589727785
16,2024,2023,802837,28020120.0,34901.380977707806
17,2024,2023,1577342,64317699.0,40776.001019436495
21,2024,2023,7010960,149227195.0,21284.844728824584
22,2024,2023,3375646,80916856.0,23970.77655654651
23,2024,2023,9233656,232239257.0,25151.387164520747
24,2024,2023,3446071,101740275.0,29523.55740784215
25,2024,2023,4145040,96963174.0,23392.578599965258
26,2024,2023,9539029,270474919.0,28354.554640729155
27,2024,2023,3220104,89688932.0,27852.80599632807
28,2024,2023,2291077,60816662.0,26545.010054223407
29,2024,2023,14850513,430987853.0,29021.748474278294
31,2024,2023,21322691,971977551.0,45584.18780256207
32,2024,2023,4102129,209829732.0,51151.42210301041
33,2024,2023,17219679,1172871443.0,68112.2710243321
35,2024,2023,45973194,3444814033.0,74930.92677006518
41,2024,2023,11824665,670919162.0,56738.95725587152
42,2024,2023,8058441,513392973.0,63708.72145120874
43,2024,2023,11229915,650107022.0,57890.64494254854
50,2024,2023,2901895,184402118.0,63545.41360042317
51,2024,2023,3836399,273008586.0,71162.71951900728
52,2024,2023,7350483,336746975.0,45812.90440369701
53,2024,2023,2982818,365669108.0,122591.82692339928
